Fecha,Ubicación,Gasolina regular,Gasolina Premium,Diesel,Gas natural
06-oct,Nacional,20.144,22.333,21.737,10.544
06-oct,CDMX,20.614,22.905,21.88,N/A
06-oct,Jalisco,20.485,22.671,21.72,N/A
06-oct,Nuevo León,20.971,23.399,21.595,N/A
07-oct,Nacional,20.171,22.337,21.748,10.544
07-oct,CDMX,20.628,22.903,21.887,N/A
07-oct,Jalisco,20.525,22.681,21.739,N/A
07-oct,Nuevo León,21.027,23.418,21.636,N/A
08-oct,Nacional,20.171,22.337,21.749,10.544
08-oct,CDMX,20.634,22.908,21.888,N/A
08-oct,Jalisco,20.525,22.683,21.739,N/A
08-oct,Nuevo León,21.027,23.418,21.636,N/A
11-oct,Nacional,20.191,22.339,21.762,10.544
11-oct,CDMX,20.634,22.904,21.9,N/A
11-oct,Jalisco,20.553,22.682,21.752,N/A
11-oct,Nuevo León,21.051,23.437,21.654,N/A
12-oct,Nacional,20.191,22.338,21.76,10.544
12-oct,CDMX,20.642,22.907,21.901,N/A
12-oct,Jalisco,20.553,22.682,21.752,N/A
12-oct,Nuevo León,21.051,23.438,21.654,N/A
13-oct,Nacional,20.198,22.34,21.766,10.544
13-oct,CDMX,20.632,22.896,21.903,N/A
13-oct,Jalisco,20.561,22.688,21.756,N/A
13-oct,Nuevo León,21.071,23.44,21.671,N/A
14-oct,Nacional,20.202,22.34,21.771,10.544
14-oct,CDMX,20.631,22.898,21.91,N/A
14-oct,Jalisco,20.564,22.687,21.752,N/A
14-oct,Nuevo León,21.084,23.441,21.679,N/A
15-oct,Nacional,20.205,22.34,21.768,10.544
15-oct,CDMX,20.617,22.892,21.907,N/A
15-oct,Jalisco,20.562,22.686,21.752,N/A
15-oct,Nuevo León,21.102,23.454,21.702,N/A
18-oct,Nacional,20.207,22.339,21.762,10.544
18-oct,CDMX,20.625,22.884,21.902,N/A
18-oct,Jalisco,20.559,22.685,21.748,N/A
18-oct,Nuevo León,21.102,23.457,21.707,N/A
18-oct,Nacional,20.212,22.342,21.764,10.544
18-oct,CDMX,20.627,22.884,21.902,N/A
18-oct,Jalisco,20.566,22.687,21.749,N/A
18-oct,Nuevo León,21.108,23.458,21.711,N/A
19-oct,Nacional,20.213,22.343,21.764,10.544
19-oct,CDMX,20.634,22.888,21.909,N/A
19-oct,Jalisco,20.566,22.687,21.749,N/A
19-oct,Nuevo León,21.108,23.46,21.711,N/A
20-oct,Nacional,20.221,22.345,21.759,10.544
20-oct,CDMX,20.636,22.887,21.906,N/A
20-oct,Jalisco,20.576,22.691,21.751,N/A
20-oct,Nuevo León,21.12,23.465,21.718,N/A
21-oct,Nacional,20.213,22.345,21.747,10.544
21-oct,CDMX,20.626,22.898,21.898,N/A
21-oct,Jalisco,20.57,22.685,21.727,N/A
21-oct,Nuevo León,21.12,23.465,21.706,N/A
22-oct,Nacional,20.206,22.346,21.743,10.544
22-oct,CDMX,20.616,22.903,21.891,N/A
22-oct,Jalisco,20.565,22.694,21.728,N/A
22-oct,Nuevo León,21.107,23.468,21.705,N/A
26-oct,Nacional,20.181,22.342,21.724,10.544
26-oct,CDMX,20.594,22.911,21.863,N/A
26-oct,Jalisco,20.543,22.687,21.709,N/A
26-oct,Nuevo León,21.094,23.476,21.7,N/A
27-oct,Nacional,20.176,22.344,21.714,10.544
27-oct,CDMX,20.585,22.913,21.838,N/A
27-oct,Jalisco,20.536,22.686,21.693,N/A
27-oct,Nuevo León,21.098,23.478,21.694,N/A
28-oct,Nacional,20.175,22.353,21.708,10.544
28-oct,CDMX,20.591,22.92,21.836,N/A
28-oct,Jalisco,20.531,22.689,21.687,N/A
28-oct,Nuevo León,21.097,23.478,21.69,N/A
29-oct,Nacional,20.171,22.357,21.702,10.544
29-oct,CDMX,20.579,22.919,21.82,N/A
29-oct,Jalisco,20.529,22.689,21.68,N/A
29-oct,Nuevo León,21.096,23.479,21.69,N/A
01-nov,Nacional,20.14,22.334,21.679,10.544
01-nov,CDMX,20.561,22.91,21.808,N/A
01-nov,Jalisco,20.486,22.68,21.645,N/A
01-nov,Nuevo León,21.08,23.483,21.684,N/A
02-nov,Nacional,20.139,22.333,21.677,10.544
02-nov,CDMX,20.549,22.909,21.809,N/A
02-nov,Jalisco,20.492,22.68,21.644,N/A
02-nov,Nuevo León,21.078,23.483,21.694,N/A
03-nov,Nacional,20.137,22.328,21.678,10.544
03-nov,CDMX,20.547,22.91,21.809,N/A
03-nov,Jalisco,20.485,22.673,21.645,N/A
03-nov,Nuevo León,21.086,23.475,21.695,N/A
04-nov,Nacional,20.137,22.322,21.675,10.544
04-nov,CDMX,20.542,22.902,21.809,N/A
04-nov,Jalisco,20.486,22.672,21.649,N/A
04-nov,Nuevo León,21.087,23.474,21.693,N/A
05-nov,Nacional,20.124,22.314,21.67,10.544
05-nov,CDMX,20.533,22.892,21.81,N/A
05-nov,Jalisco,20.477,22.665,21.651,N/A
05-nov,Nuevo León,21.08,23.457,21.698,N/A
